,name,code,deaths
0,Afghanistan,AFG,1216002
1,Albania,ALB,149052
2,Algeria,DZA,1173156
3,American Samoa,ASM,4428
4,Andorra,AND,6821
5,Angola,AGO,1067772
6,Antigua and Barbuda,ATG,7266
7,Argentina,ARG,2150362
8,Armenia,ARM,233238
9,Australia,AUS,1076233
10,Austria,AUT,656288
11,Azerbaijan,AZE,554692
12,Bahamas,BHS,22534
13,Bahrain,BHR,25391
14,Bangladesh,BGD,4832427
15,Barbados,BRB,24761
16,Belarus,BLR,1333552
17,Belgium,BEL,813162
18,Belize,BLZ,17724
19,Benin,BEN,447462
20,Bermuda,BMU,13093
21,Bhutan,BTN,30686
22,Bolivia,BOL,367108
23,Bosnia and Herzegovina,BIH,311851
24,Botswana,BWA,237262
25,Brazil,BRA,8090879
26,Brunei,BRN,20465
27,Bulgaria,BGR,1213704
28,Burkina Faso,BFA,1084577
29,Burundi,BDI,680986
30,Cambodia,KHM,688062
31,Cameroon,CMR,1252161
32,Canada,CAN,1788021
33,Cape Verde,CPV,32649
34,Central African Republic,CAF,467618
35,Chad,TCD,582212
36,Chile,CHL,681851
37,China,CHN,71232334
38,Colombia,COL,1581809
39,Comoros,COM,47124
40,Congo,COG,282747
41,Cook Islands,COK,21004
42,Costa Rica,CRI,143095
43,Cote d'Ivoire,CIV,1526998
44,Croatia,HRV,486223
45,Cuba,CUB,681696
46,Cyprus,CYP,74889
47,Czechia,CZE,1011756
48,Democratic Republic of Congo,COD,4158758
49,Denmark,DNK,468516
50,Djibouti,DJI,61131
51,Dominica,DMA,28590
52,Dominican Republic,DOM,408608
53,Ecuador,ECU,508165
54,Egypt,EGY,3558491
55,El Salvador,SLV,255012
56,Equatorial Guinea,GNQ,71883
57,Eritrea,ERI,272900
58,Estonia,EST,189294
59,Eswatini,SWZ,176248
60,Ethiopia,ETH,4022298
61,Fiji,FJI,64580
62,Finland,FIN,460362
63,France,FRA,4197565
64,Gabon,GAB,122199
65,Gambia,GMB,103166
66,Georgia,GEO,545031
67,Germany,DEU,7296454
68,Ghana,GHA,1404877
69,Greece,GRC,964014
70,Greenland,GRL,37229
71,Grenada,GRD,38782
72,Guam,GUM,40051
73,Guatemala,GTM,462913
74,Guinea,GIN,653428
75,Guinea-Bissau,GNB,120441
76,Guyana,GUY,80940
77,Haiti,HTI,634754
78,Honduras,HND,281419
79,Hong Kong,HKG,13822
80,Hungary,HUN,1271721
81,Iceland,ISL,53541
82,India,IND,45396962
83,Indonesia,IDN,10336631
84,Iran,IRN,2475394
85,Iraq,IRQ,1136445
86,Ireland,IRL,268075
87,Israel,ISR,327018
88,Italy,ITA,4775253
89,Jamaica,JAM,151296
90,Japan,JPN,8407386
91,Jordan,JOR,159330
92,Kazakhstan,KAZ,1480629
93,Kenya,KEN,2455079
94,Kiribati,KIR,49192
95,Kosovo,OWID_KOS,43065
96,Kuwait,KWT,89532
97,Kyrgyzstan,KGZ,360258
98,Laos,LAO,316083
99,Latvia,LVA,347228
100,Lebanon,LBN,251371
101,Lesotho,LSO,342072
102,Liberia,LBR,242403
103,Libya,LBY,198873
104,Lithuania,LTU,444454
105,Luxembourg,LUX,78182
106,Madagascar,MDG,859101
107,Malawi,MWI,1350503
108,Malaysia,MYS,911804
109,Maldives,MDV,55316
110,Mali,MLI,974314
111,Malta,MLT,74257
112,Marshall Islands,MHL,52078
113,Mauritania,MRT,146638
114,Mauritius,MUS,107278
115,Mexico,MEX,3161929
116,Micronesia (country),FSM,56469
117,Moldova,MDA,487937
118,Monaco,MCO,56772
119,Mongolia,MNG,226132
120,Montenegro,MNE,111553
121,Morocco,MAR,1466773
122,Mozambique,MOZ,1895344
