,Entity,Meningitis,Neoplasms,Fire heat and hot substances,Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Terrorism,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease
0,Afghanistan,78665,469611,13559,13924,56535,108228,4282,7094,147637,208332,129621,822179,697534,3256,16770,245832,2187,71453,37054,280520,93207,14531,70163,39193,1607042,134676,209857,98419,186959,98108,41998,13397
1,Africa,5559509,13633297,803923,21686225,945160,2178223,29106962,75298,13777914,6359218,2980827,25228868,25075847,176794,34977,26224276,165448,5322341,1893844,1575617,4240427,613852,5145422,0,36704118,3630423,5707716,6347525,9900886,696194,1639248,423800
2,African Region,5325372,11094707,659574,21462693,801804,2056987,28888674,53177,13028578,4839529,2740727,23007935,22661167,163833,27010,24485553,152369,4940860,1651040,1402850,3602991,555599,4778254,0,24875081,2779058,4564405,4578870,7763233,525500,1252189,318566
3,African Union,5559509,13633297,803923,21686225,945160,2178223,29106962,75298,13777914,6359218,2980827,25228868,25075847,176794,34977,26224276,165448,5322341,1893844,1575617,4240427,613852,5145422,0,36704118,3630423,5707716,6347525,9900886,696194,1639248,423800
4,Albania,1323,102577,637,0,2397,5242,57,634,593,8522,247,26402,15568,458,89,677,164,569,4586,2145,4054,500,526,42,270603,7637,22632,8717,14907,44,16551,4491
5,Algeria,15686,469379,27628,70,24273,16702,6101,10612,18089,369395,29475,179379,395714,2748,4032,34410,1041,7138,44965,30947,89035,12338,6406,11066,2123720,154666,168453,91927,146527,10492,86914,22943
6,America,373427,37028759,339652,115109,749351,4750433,1900734,889613,869275,4743433,347883,8205620,4717859,901419,327612,1888482,68442,1213665,2416468,66804,6453025,116299,1115956,0,53597825,5874889,9789196,4837394,9086564,36733,6170340,1280530
7,American Samoa,30,1474,0,0,120,101,16,0,30,164,30,328,246,20,41,89,26,60,100,10,970,0,60,0,2851,512,612,181,341,0,143,69
8,Andean Latin America,23752,1326179,22548,14059,66447,122131,95239,6405,235977,302896,59319,880150,488921,31714,7162,154218,5056,129383,79007,9736,250972,11829,119225,0,1460683,361914,297073,304887,581045,3577,193467,50490
9,Andorra,0,5015,0,0,0,16,85,0,0,259,0,390,24,30,0,16,0,0,220,0,198,0,0,0,3526,292,839,283,561,30,614,137
10,Angola,110893,237225,15712,317069,34337,20795,244358,1190,473636,241350,61545,564508,554921,4289,742,810148,3520,235181,40895,54203,73366,14021,229862,2195,525047,49080,101847,119381,190974,14431,17703,4486
11,Antigua and Barbuda,40,3004,60,0,120,119,257,8,11,187,0,779,253,138,39,62,0,87,65,1,1329,8,85,0,5264,694,246,302,566,0,428,117
12,Argentina,17548,2113666,20991,123,24301,72506,48615,1535,30389,172081,12521,697414,173947,27147,425,23155,1567,44066,127809,773,278201,8654,41934,125,2836128,357513,463952,201480,422715,1732,261721,68276
13,Armenia,423,154102,2944,6,4519,5249,264,225,3830,10213,377,18722,14572,2592,13,3403,4172,817,6308,357,34565,1183,324,37,388635,7571,35416,24100,38666,154,15714,3739
14,Asia,4380260,120202612,1780212,3541139,7647117,4001307,4525097,1088331,30077757,21670793,4338688,43201703,45495854,1415790,1093531,37745803,699400,7018224,14585344,1495767,16292763,1356335,5581639,0,235691961,15740935,78420413,20478364,35099961,3004875,13391609,3561496
